Enemies = {
{"Grunt",2,2,1,"A simple creature that whacks things with its fists."," +1 Ware",0,"Grunt"},
{"Snowman",4,2,1,"A horrible ghoul using a festive guise."," +1 Ware",0,""},
{"Monkey",1,4,1,"This wily primate loves to trick unsuspecting explorers!"," +4β",0,""},
{"Hog",3,3,2,"Those cute, chubby jowls hide its razor sharp tusks."," +1 Ware & +3β",0,""},
{"Solar 'Naut",2,3,2,"An advanced cosmonaut who has harnessed the power of solar rays."," +5β",0,""},
{"Solar Knot",4,3,2,"A garlic knot empored by the solar rays of the stars."," +1 Relic",0,""},
{"Hollow",4,3,1,"For each soul the attacking player holds, this gains +1 attack."," +1 Relic",0,"TheHollow"},
{"Common Imp",2,2,1,"If this damages a player, draw a Ware card and use it on the attacking player."," +1 Ware",0,"CommonImp"},
{"Treasure Imp",6,4,0,"This will leave after five attack rolls."," +3 Relics",0,""},
{"Grave Stomper",3,2,1,"When this is defeated, you may force a player to discard one Ware of their choosing."," +1 Ware",0,""},
{"The Tomb",4,4,1,"When this is defeated, kill an enemy (non boss) or player of your choosing."," +1 Relic",1,""},
{"Hexed Soul",0,0,0,"Roll a die: 1-3; The soul is destroyed, 4-6; collect this soul.","",0,""},
{"Foul Trick",0,0,0,"Roll a die: 1-2; +1β, 3-4; take 2 damage, 5-6; +2 attack Wares. (If the Moon Jester is in play, you may discard this and deal 2 damage to it. Note that this will start combat).","",0,""},
{"Moon Jester",6,3,2,"No Wares may be played during this fight."," +1 Relic",2,""},
{"Voodoo Dog",2,3,1,"If this takes damage, the attacking player must roll 3+ to avoid taking damage."," +2 Wares",0,""},
{"Something Horrid This Way Comes",1,6,1,"When this is defeated, if the next monster drawn is a boss, claim one additional Relic."," +1 Relic",0,""},
{"The Walls Move",4,3,1,"When this is defeated, add a monster slot."," +8β",1,""},
{"Mimic",3,3,1,"If this damages the attacking player, they must add one Ware of their choosing to this monster's reward."," +2 Wares",0,"Chest"},
{"Plague Treasure",0,0,0,"Roll a die: 1-3; Take 2 damage, 4-6; +1 Relic","",0,"PlagueChest"},
{"Imp's Stash",0,0,0,"If no Imps are in play, claim 3 Wares of your choosing. Otherwise, any Imp in play will have an additional 3 Wares of the same type added to their reward.","",0,"Chest"},
{"Imp Thief",2,3,1,"If this defeats a player, you must discard an additional Ware card."," +2 Wares",0,""},
{"Imp Queen",5,3,1,"If any Imps are in play, they gain +1 to RR and +1 to ATK"," +2 Relics",1,""},
{"Bomb Bones",1,2,1,"When this is defeated, roll a die: 1-2; take 1 damage, 3-4; Inflict 1 damage on a player of your choosing, 5-6; Inflict 1 damage to an enemy of your choosing."," +4β",0,""},
{"George",0,0,0,"When this is drawn, it will leave after all players have had a turn. 4β: +2 Wares, 10β: +2 Relics, 20β: +1 Soul.","",0,""},
{"Spectre",1,0,1,"This can only be damaged by an odd number roll. Even numbers miss."," +3β",0,""},
{"Ghoul",1,0,1,"This can only be damaged by an even number roll. Odd numbers miss."," +4β",0,""},
{"Smile!",3,2,2,"When this is defeated, you may pick another player's Ware at random to clone for yourself.","",1,""},
{"Booby trap",0,0,0,"Roll a die: 1; Take 1 damage, 2-6; rather pleasant experience.","",0,""},
{"~{HEX}~",6,6,6,"","",6,""},
{"Imp Guard",3,3,1,"If the 'Imp Queen' is in play you must attack this card first."," +2 Wares",0,""},
{"Imp Swarm",4,2,2,"If this is defeated in less than 3 moves, double the reward."," +3 Wares",0,""},
{"Hurtling bone",0,0,0,"Roll a die: 1; OUCH, who threw that? (take 1 damage), 2-6; conveniently duck for the shiny object you found on the ground (+1β)","",0,""},
{"Bone Golem",7,2,2,"A large construct made of bone. "," +10β",1,""},
{"Watchful",3,3,1,"No Wares may be played during this fight."," +5β",0,"TheWatchful"},
{"Goliath Scarab",8,2,1,"This hulking insect has lost its ability to become jewelry. Takes no damage on a roll of 6."," +1 Relic",1,""},
{"Ethereal Network Cord Snake ",6,3,2,"This strange creature came to life one day in an abandoned server room and has been on the loose ever since. Watch out for its sharp prongs!"," +1 Relic",1,""},
{"Dumpster Dive",0,0,0,"When Revealed: All players may play an additional Ware in response to this."," +2 Wares to the player who revealed this.",0,""},
{"Pit of a Thousand Trials.",0,0,0,"Discard all active enemies and draw new ones until a boss slots into all of them. You may attack as many times as you want till the end of your turn.","",0,""},
{"Texan Engineer",4,3,2,"Items that increase ATK is ineffective when fighting this. When defeated the active player may recharge all of their items. 'Hey look buddy...'"," +1 Relic",0,""},
{"Scottish Swordsman",4,4,2,"If this kills a player, they lose 1 soul."," +2 Relics",0,""},
{"The Strongman",8,5,3,"If this is not in combat: you may vote to discard this."," +1 Relic",2,""},
{"Ogre",3,4,1,"You feel layers of fear set upon you.'"," +4 β",0,""},
{"Mucus Monster",2,3,1,"Does not take damage on rolls of 3. 'A gelatinous monster made of snot.'"," +X β",0,""},
{"Back door",0,0,0,"Add a new enemy slot to the board.","",0,""},
{"Spider",1,4,1,"Don't let that spider bite ya, spider bite hurt.'"," +2 β",0,""},
{"Funny clown",2,3,1,"Why does he keep dancing and saying his name?'"," +1 Ware",0,""},
{"Rolly polly",3,6,1,"When this is active you may only attack this. Only deals damage on rolls less than 2."," +1 Ware",0,""},
